County,Marital Status,Male,Female,Total
Cork City,Single,37732,36107,73839
Cork City,Married (incl. same sex civil partnership),19712,19510,39222
Cork City,Separated,1351,1759,3110
Cork City,Divorced,1321,1714,3035
Cork City,Widowed,1606,4845,6451
Cork City,Total,61722,63935,125657
Kerry,Single,38666,35296,73962
Kerry,Married (incl. same sex civil partnership),29650,29810,59460
Kerry,Separated,1579,2000,3579
Kerry,Divorced,1433,1920,3353
Kerry,Widowed,1727,5626,7353
Kerry,Total,73055,74652,147707
Limerick,Single,55132,49935,105067
Limerick,Married (incl. same sex civil partnership),36356,36216,72572
Limerick,Separated,2165,2782,4947
Limerick,Divorced,1651,2125,3776
Limerick,Widowed,2036,6501,8537
Limerick,Total,97340,97559,194899
Clare,Single,31462,29012,60474
Clare,Married (incl. same sex civil partnership),23520,23640,47160
Clare,Separated,1408,1743,3151
Clare,Divorced,1133,1541,2674
Clare,Widowed,1262,4096,5358
Clare,Total,58785,60032,118817
Offaly,Single,21291,19419,40710
Offaly,Married (incl. same sex civil partnership),15108,15024,30132
Offaly,Separated,958,1221,2179
Offaly,Divorced,675,920,1595
Offaly,Widowed,806,2539,3345
Offaly,Total,38838,39123,77961
Kildare,Single,61394,57985,119379
Kildare,Married (incl. same sex civil partnership),43275,43093,86368
Kildare,Separated,2285,3097,5382
Kildare,Divorced,1790,2635,4425
Kildare,Widowed,1802,5148,6950
Kildare,Total,110546,111958,222504
Laois,Single,24060,21485,45545
Laois,Married (incl. same sex civil partnership),16095,15885,31980
Laois,Separated,1075,1251,2326
Laois,Divorced,826,958,1784
Laois,Widowed,755,2307,3062
Laois,Total,42811,41886,84697
